"Template","Template Description","Complete Question","Date Question","Time Question","Location Question","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Are people subject to: Physical abuse","YesNo",,75,"72B14.6.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Sexual abuse","YesNo",,76,"72B14.6.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Gender-based or psychological intimidation","YesNo",,77,"72B14.6.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Insecurity","YesNo",,78,"72B14.6.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Discrimination","YesNo",,79,"72B14.6.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Protection",8,"Are people taking risks or is access to basic needs blocked by weapon contamination (mines/ERW)?","String",,80,"72B14.7",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Are people getting enough water for: drinking","YesNo",,81,"72B15.1.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Bathing ","YesNo",,82,"72B15.1.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Cleaning","YesNo",,83,"72B15.1.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Are people using unsafe  water source as alternatives?","YesNo",,84,"72B15.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Why?  ","String",,85,"72B15.2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"How is water carried and stored in household?","String",,86,"72B15.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Do people treat water at home by:  Filtering ","YesNo",,87,"72B15.4.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Boiling","YesNo",,88,"72B15.4.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Chlorinating","YesNo",,89,"72B15.4.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Where do people defecate/urinate at present?","String",,90,"72B15.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Is the incidence of diarrhoeal diseases above normal? Is it increasing or decreasing?","Option",,91,"72B15.6","(Length, 3) (1, Normal) (2, Increasing) (3, Decreasing)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Are there adequate hand washing/bathing facilities at key points and are they used? ","String",,92,"72B15.7",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Water and Sanitation",9,"Is soap or an alternative available?","YesNo",,92,"72B15.8",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Houses","Option",,93,"72B16.1.1","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Water","Option",,94,"72B16.1.2","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Sanitation","Option",,95,"72B16.1.3","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Electricity","Option",,96,"72B16.1.4","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Health","Option",,97,"72B16.1.5","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Impact on people’s homes and key services: Community Centre","Option",,98,"72B16.1.6","(Length, 3) (1, Low) (2, Medium) (3, High)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"If homes have been severely damaged or destroyed, are people living: On the site of their former homes?","YesNo",,99,"72B16.2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Approximate numbers","Numeric",,100,"72B16.2.1.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"With friends or family? ","YesNo",,101,"72B16.2.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Approximate numbers","Numeric",,102,"72B16.2.2.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"In camps?","YesNo",,103,"72B16.2.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Approximate numbers","Numeric",,104,"72B16.2.3.1","(Format, n)",,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Did people use their homes to store: Tools and Equipment?","YesNo",,105,"72B16.3.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Provide shelter or food for animals","YesNo",,106,"72B16.3.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Do people use their homes for productive activities?","YesNo",,107,"72B16.4.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Have they lost access to this space to produce goods?","YesNo",,108,"72B16.4.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Are they unable to run small businesses? ","YesNo",,109,"72B16.4.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Has the disaster affected their productive activities?","YesNo",,110,"72B16.4.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"How has the disaster affected this use?","String",,111,"72B16.4.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Shelter requirements: Need to resist heavy rain","YesNo",,112,"72B16.5.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Need to resist heavy wind","YesNo",,113,"72B16.5.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Need to resist hot weather","YesNo",,114,"72B16.5.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Need to resist cold weather","YesNo",,115,"72B16.5.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Shelter",3,"Describe the physical status climatic of shelters:","String",,116,"72B16.6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"What are the main types of activities households use to make a living? ","String",,117,"72B17.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"Explain","String",,118,"72B17.1.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"What were the main sources of income and food prior to the disaster?  (e.g. farmer with smallholding, office worker, wage labourer, remittances, a combination of activities, etc.)","String",,119,"72B17.2",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"What are the main agricultural activities? Who does what on the land and who owns it?","String",,120,"72B17.3",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"Explain","String",,121,"72B17.3.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"What has happened to households that run shops? What were the main sources of income and food prior to the disaster?","String",,122,"72B17.4",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"Explain","String",,123,"72B17.4.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"Have communities lost key items (assets) that they need for their work (e.g. fishing or farming equipment, means of transport, tools or equipment, etc.)? ","String",,124,"72B17.5",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Livelihoods",10,"Have important environmental assets been damaged or destroyed which may affect people’s future ability to make a living?","String",,125,"72B17.6",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Infrastructure",11,"Best way to access affected areas?","String",,126,"72B18.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Infrastructure",11,"Conditions/access of (as applicable) of Rail","String",,127,"72B18.2.1",,,,,,
"72 Hour B","Rapid onset disaster. First 72 hours, rapid field assessment form (B)","72B3","72B5","72B6","72B2.1","72B9.1","Infrastructure",11,"Conditions/access of (as applicable) of Bridges ","String",,128,"72B18.2.2",,,,,,
